datetime,open,high,low,close,volume,kline_status
2022-03-03,2.825,2.85,2.825,2.84,36300.0,TREND_UP
2022-03-04,2.8375,2.8425,2.8225,2.8275,38900.0,TREND_DOWN
2022-03-07,2.8325,2.845,2.825,2.8325,37800.0,TREND_UP
2022-03-08,2.8275,2.8375,2.8225,2.8375,32100.0,TREND_DOWN
2022-03-09,2.84,2.8625,2.84,2.855,41900.0,TREND_UP
2022-03-10,2.85,2.86,2.8475,2.855,27400.0,INSIDE
2022-03-11,2.8575,2.8675,2.785,2.79,54900.0,OUTSIDE
2022-03-14,2.76,2.78,2.75,2.77,42000.0,TREND_DOWN
2022-03-15,2.7725,2.825,2.7725,2.825,36700.0,TREND_UP
2022-03-16,2.83,2.845,2.79,2.805,22500.0,TREND_UP
2022-03-17,2.8075,2.815,2.795,2.8,12700.0,INSIDE
2022-03-18,2.7925,2.805,2.7875,2.8,16100.0,TREND_DOWN
2022-03-21,2.7975,2.8175,2.7975,2.8175,13700.0,TREND_UP
2022-03-22,2.825,2.8365,2.8225,2.8325,21100.0,TREND_UP
2022-03-23,2.835,2.835,2.82,2.8275,14600.0,TREND_DOWN
2022-03-24,2.8275,2.829,2.8025,2.805,29400.0,TREND_DOWN
2022-03-25,2.8025,2.8075,2.7925,2.797,20300.0,TREND_DOWN
2022-03-28,2.795,2.795,2.785,2.79,25500.0,TREND_DOWN
2022-03-29,2.79,2.7925,2.785,2.785,20100.0,INSIDE
2022-03-30,2.78,2.78,2.765,2.772,29700.0,TREND_DOWN
2022-03-31,2.775,2.795,2.7725,2.78,27900.0,TREND_UP
2022-04-01,2.7825,2.785,2.77,2.773,20000.0,TREND_DOWN
2022-04-02,2.771,2.771,2.771,2.771,100.0,INSIDE
2022-04-06,2.765,2.77,2.755,2.7565,26900.0,TREND_DOWN
2022-04-07,2.74,2.7525,2.739,2.74,26800.0,TREND_DOWN
2022-04-08,2.7425,2.755,2.738,2.755,21400.0,OUTSIDE
2022-04-11,2.75,2.78,2.75,2.765,27900.0,TREND_UP
2022-04-12,2.77,2.775,2.74,2.7675,32100.0,TREND_DOWN
2022-04-13,2.765,2.77,2.74,2.745,23100.0,INSIDE
2022-04-14,2.74,2.7675,2.74,2.7575,34400.0,INSIDE
2022-04-15,2.755,2.785,2.7525,2.785,25600.0,TREND_UP
2022-04-18,2.78,2.81,2.78,2.8075,28500.0,TREND_UP
2022-04-19,2.805,2.8225,2.8,2.82,28800.0,TREND_UP
2022-04-20,2.825,2.836,2.82,2.8325,53100.0,TREND_UP
2022-04-21,2.83,2.83,2.8225,2.8225,33500.0,INSIDE
2022-04-22,2.825,2.8475,2.8225,2.8425,26000.0,OUTSIDE
2022-04-24,2.834,2.8375,2.8325,2.8325,3200.0,INSIDE
2022-04-25,2.83,2.8325,2.8125,2.815,37500.0,TREND_DOWN
2022-04-26,2.815,2.83,2.815,2.8275,23000.0,INSIDE
2022-04-27,2.8325,2.8425,2.8275,2.8425,33300.0,TREND_UP
2022-04-28,2.845,2.8525,2.8425,2.8425,28600.0,TREND_UP
2022-04-29,2.845,2.845,2.8325,2.8375,23900.0,TREND_DOWN
2022-05-05,2.8325,2.833,2.825,2.826,22500.0,TREND_DOWN
2022-05-06,2.8315,2.8325,2.824,2.83,25400.0,TREND_DOWN
2022-05-07,2.8275,2.8285,2.825,2.825,2300.0,INSIDE
2022-05-09,2.8225,2.8275,2.8125,2.815,30400.0,TREND_DOWN
2022-05-10,2.81,2.8125,2.8,2.8075,33300.0,TREND_DOWN
2022-05-11,2.81,2.83,2.81,2.8225,38700.0,TREND_UP
2022-05-12,2.82,2.82,2.8,2.805,48100.0,TREND_DOWN
2022-05-13,2.8025,2.82,2.7975,2.815,54600.0,OUTSIDE
2022-05-16,2.83,2.83,2.82,2.82,28200.0,TREND_UP
2022-05-17,2.8175,2.82,2.8125,2.8125,23900.0,TREND_DOWN
2022-05-18,2.815,2.815,2.8,2.8,37200.0,TREND_DOWN
2022-05-19,2.795,2.808,2.795,2.8075,30200.0,TREND_DOWN
2022-05-20,2.8075,2.8175,2.8075,2.8175,30700.0,TREND_UP
