datetime,open,high,low,close,volume,kline_status,raw_fractal,valid_fractal
2024-10-24,4637.7608,4644.8152,4593.8686,4610.7357,28980129300,TREND_DOWN,BOTTOM,
2024-10-28,4614.2861,4698.6841,4613.1755,4674.8209,34461268800,TREND_UP_(M),,
2024-10-29,4684.824,4703.4218,4625.5136,4628.6081,36643457200,TREND_UP,TOP,Tx
2024-10-30,4607.5404,4639.6851,4570.4854,4603.9797,36078406700,TREND_DOWN,BOTTOM,B
2024-10-31,4605.7879,4647.1719,4574.0148,4614.7899,45962287100,TREND_UP,,
2024-11-01,4605.0084,4653.5875,4581.6775,4597.4523,51562586900,TREND_UP,,
2024-11-04,4601.7695,4665.2022,4601.2542,4665.2022,38194059600,TREND_UP,,
2024-11-05,4658.8969,4793.6255,4647.6135,4789.7621,50333020300,TREND_UP,,
2024-11-07,4799.068,4893.8417,4748.1955,4893.3061,56091227000,TREND_UP_(M),,
2024-11-08,4945.4887,4960.8028,4849.156,4860.8838,53712525900,TREND_UP,TOP,Tx
2024-11-11,4825.6863,4915.2699,4811.5697,4913.9314,49883460300,TREND_DOWN,BOTTOM,Bx
2024-11-12,4919.6538,4970.269,4828.7206,4862.3855,50009885800,TREND_UP,TOP,T
2024-11-13,4832.5923,4894.3381,4825.1414,4883.9804,39600771100,TREND_DOWN,,
2024-11-14,4870.7893,4881.9902,4773.7708,4779.6745,37451939400,TREND_DOWN,,
2024-11-15,4761.3613,4789.4193,4687.8861,4687.8861,39194428800,TREND_DOWN,,
2024-11-18,4703.5236,4749.5753,4624.8189,4648.174,45791150600,TREND_DOWN,,
2024-11-19,4651.3071,4694.5484,4586.6563,4692.8806,37903269600,TREND_DOWN,BOTTOM,Bx
2024-11-21,4680.8667,4735.2623,4680.8667,4716.7551,32979540300,TREND_UP_(M),TOP,Tx
2024-11-22,4708.3676,4718.0025,4566.5518,4566.5518,37147150700,TREND_DOWN,,
2024-11-27,4577.1409,4608.3779,4488.2799,4608.3779,32382237400,TREND_DOWN_(M),BOTTOM,B
2024-11-28,4607.3085,4613.1282,4557.8792,4565.127,29032817900,TREND_UP,,
2024-11-29,4560.6313,4668.8504,4560.6313,4620.2722,30639736300,TREND_UP,,
2024-12-02,4615.6275,4678.6636,4608.1609,4669.0692,34232878000,TREND_UP,,
2024-12-03,4670.1079,4682.4335,4632.6993,4666.9088,31736642600,TREND_UP,TOP,Tx
2024-12-04,4663.3085,4672.9697,4619.0627,4635.8751,32422231200,TREND_DOWN,,
2024-12-05,4618.0003,4647.9089,4614.0515,4631.0322,27223625800,TREND_DOWN,BOTTOM,Bx
2024-12-09,4634.7487,4721.4623,4634.7487,4682.5165,37928862400,TREND_UP_(M),,
2024-12-10,4829.7629,4835.0937,4707.7439,4715.9391,47395477300,TREND_UP,TOP,T
2024-12-11,4705.8452,4730.9505,4700.6479,4717.1779,35229379200,TREND_DOWN,BOTTOM,
2024-12-12,4715.8061,4763.2502,4706.8506,4759.4119,33402274400,TREND_UP,TOP,
2024-12-13,4727.3067,4727.3067,4648.4243,4649.9465,39973388300,TREND_DOWN,,
2024-12-16,4647.296,4653.9228,4604.0395,4617.1709,29971427500,TREND_DOWN,BOTTOM,B
2024-12-17,4611.3871,4661.0022,4611.3871,4616.9456,26502288700,TREND_UP,,
2024-12-19,4631.3424,4664.1846,4630.1104,4653.5084,25404908500,TREND_UP_(M),,
2024-12-20,4643.5564,4674.4145,4632.1389,4639.2146,26447215500,TREND_UP,TOP,Tx
2024-12-23,4639.1424,4673.6087,4622.4305,4626.1369,28464188200,TREND_DOWN,BOTTOM,
2024-12-24,4628.7629,4684.4446,4628.7629,4682.2223,23758245800,TREND_UP,,
2024-12-26,4686.9226,4700.0161,4655.2304,4684.843,23172224800,TREND_UP_(M),,
2024-12-30,4686.8211,4716.0068,4673.4743,4693.2317,24410531500,TREND_UP_(M),TOP,T
2024-12-31,4690.9775,4698.3004,4608.9405,4608.9405,25943757900,TREND_DOWN,,
2025-01-02,4604.7474,4607.8725,4443.2511,4473.6597,29133815500,TREND_DOWN,,
2025-01-03,4478.694,4494.1203,4404.1964,4411.0352,25268473800,TREND_DOWN,,
2025-01-06,4411.5819,4428.343,4377.5616,4402.911,21028969800,TREND_DOWN,BOTTOM,Bx
2025-01-09,4395.1783,4456.124,4395.1783,4424.244,21656149200,TREND_UP_(M),TOP,Tx
2025-01-10,4422.1665,4437.5704,4365.5396,4365.5396,21685936700,TREND_DOWN,,
2025-01-13,4331.3181,4380.1026,4330.838,4358.1951,20102372300,TREND_DOWN,BOTTOM,B
2025-01-15,4365.8507,4491.2332,4365.8507,4452.022,26041525600,TREND_UP_(M),,
2025-01-17,4471.4705,4516.1168,4436.8911,4476.9817,23898404500,TREND_UP_(M),,
